pH,T,DO,DO_Sat,TotAlk_CaCO3,EC_uS,P-PO4,TN
8.2,12.7,2,100.85,139,301,0.002,0.2948
8.3,12.5,12,103.99,125.4,283,0.002,0.2555
8.1,12.45,10.2,110.4,111.2,281,0.002,0.297
8.3,12.4,11.15,113.55,126,282,0.006,0.282
8.3,12.2,12,113.04,126,283,0.037,0.287
8.3,12.2,12.4,112.07,124.3,281,0.015,0.285
8.3,12.2,12.4,109.99,127.1,281,0.003,0.2489
8.4,12.2,12.35,108.38,124.9,275,0.007,0.0859
8.4,12.2,12.15,107.23,127.1,269,0.007,0.134
8.5,11.6,12,105.42,126,268,0.01,0.147
8.4,11.6,11.9,104.52,124.9,267,0.01,0.148
8.4,22.2,11.7,103.17,123.7,267,0.007,0.152
8.4,22.2,11.6,103.17,124.5,269,0.01,0.14733
8.2,22,11.45,102.72,125,281,0.01,0.15733
8.1,22,11.45,102.72,125.4,267,0.007,0.0959
8.5,22,11.4,101.82,124.8,301,0.01,0.1195
8.18,22,11.4,129.45,123.4,258,0.01,0.1325
8.18,22,11.3,129.45,122.3,260,0.01,0.134
8.14,22,12.9,128.45,124.6,258,0.01,0.0849
8.07,22,12.9,128.91,123.4,258,0.01,0.1081
7.91,22,12.8,129.64,121.2,240,0.013,0.1646
8.2,22,12.9,130.36,121.7,250,0.08,0.0879
8.19,21.9,13,130.22,123.5,250,0.013,0.1678
8.15,17.4,13.1,130.59,125.7,250,0.013,0.206
8.15,16.4,13.4,128.21,127.4,255,0.003,0.2511
8.18,15.3,13.5,125.26,131.4,255,0.003,0.2311
8.18,14.6,13.5,121.63,124.6,255,0.006,0.4228
8.16,14.4,13.4,119.69,123.4,255,0.011,0.131
8.14,14,13.1,119.42,124.2,255,0.032,0.103
8.13,13.1,13.1,115.88,124.8,255,0.008,0.147
8.13,12.8,13.1,115.88,125.1,255,0.059,0.325
8.18,12.4,12.8,115.88,125.4,255,0.021,0.134
8.38,11.8,12.8,111.57,121.4,263,0.014,0.404
8.4,25,12.8,112.71,120.3,262,0.04,0.311
8.39,22.9,9.2,114.01,122.6,264,0.023,0.3655
8.35,19,9.4,116.75,121.4,264,0.015,0.452
8.45,18.7,9.6,120.61,119.2,264,0.011,0.402
8.44,18,9.9,127.22,119.7,266,0.029,0.392
8.45,16.2,10.3,128.67,121.4,263,0.014,0.3513
8.42,15.3,11.4,122.2,123.7,268,0.017,0.4553
8.39,14.8,12.05,115.41,126.6,266,0.038,0.417
8.33,13.6,12.1,110.02,129.4,261,0.056,0.484
8.27,13,11.8,108.26,122.6,264,0.019,0.5015
8.22,13,11.4,105.87,123.1,260,0.005,0.505
8.387,12.2,11.4,104.69,123.9,265,0.002,0.5223
8.373,12.1,11.25,102.83,124.5,265,0.007,0.5973
8.18,12,11.2,101.66,124.9,265,0.005,0.343
7.98,11.9,11.1,99.14,126,288,0.003,0.444
8.17,11.6,11.05,112.37,114.8,280,0.012,0.523
8.23,11.6,10.9,112.56,113.5,280,0.001,0.517
8.19,11.6,9.25,111.95,113.5,280,0.021,0.462
8.26,11.6,9.25,112.33,114.7,280,0.009,0.351
8.07,11.6,9.2,110.54,113.5,285,0.013,0.326
8.2,11.6,9.2,127.27,114.7,285,0.01,0.355
8.25,11.6,9.1,126.43,96.95,285,0.009,0.521
8.22,11.6,10.95,125.63,124.8,285,0.006,0.541
8.2,25,11.05,106.52,123.9,290,0.008,0.355
8.23,25.1,11.55,100.63,123.9,290,0.01,0.537
8.19,10,10.75,97.09,128.7,291,0.008,0.41
8.19,25,10.5,96.43,126.5,291,0.013,0.386
8.183,14.8,10.2,94.32,127.8,290,0.007,0.1903
8.15,13.4,10.2,94.32,127.9,290,0.007,0.5063
8.09,12.2,10,92.75,126.7,290,0.009,0.351
8.01,11.8,10,90.99,126.2,300,0.009,0.391
8.13,11.6,9.9,102.12,109.8,293,0.009,0.414
8.19,11.5,9.8,101.88,109.8,296,0.007,1.136
8.18,11.4,8.2,100.63,109.1,297,0.009,1.096
8.22,11.3,8.15,101.25,111.1,296,0.009,0.797
8.2,11.2,8.05,103.67,110.4,299,0.008,0.375
8.22,11.2,8.1,107.14,108.6,299,0.006,1.118
8.22,11,8.34,125.29,114.1,293,0.009,0.822
8.18,11.1,8.7,127.98,116.7,293,0.008,0.605
8.08,10.9,10.7,111.48,124.7,309,0.01,0.415
8.01,10.9,12.35,100.63,122.8,309,0.009,0.444
7.92,10.8,11.3,94.84,126.1,309,0.006,0.29
7.85,10.8,10.5,87.65,121.9,309,0.008,0.287
7.817,10.7,10.1,72.6,123.3,308,0.008,0.3293
7.817,10.8,9.55,71.3,126,308,0.007,1.117
7.85,10.7,8,68.58,130.1,308,0.008,0.505
7.9,10.7,7.95,67.24,125.6,320,0.007,0.278
8.07,10.7,7.7,96.57,108.8,305,0.007,0.769
8.15,10.7,7.55,94.72,110.1,293,0.009,0.306
8.19,10.7,7.95,96.75,121.3,298,0.006,0.276
8.2,10.7,7.9,98.17,108.7,298,0.008,0.294
8.19,10.7,8.1,97.57,109.5,298,0.005,0.302
8.18,10.7,8.25,99.17,110,299,0.006,0.693
8.19,10.7,8.2,98.57,110.6,300,0.004,0.52
8.19,10.7,8.35,155.9,114.1,305,0.004,0.553
8.17,10.7,8.3,110.69,123,313,0.002,0.696
8.1,10.7,14.6,92.54,123.6,326,0.002,0.696
8.02,10.7,11.1,77.88,129.3,314,0.011,0.364
7.85,10.7,9.7,68.09,124.4,317,0.009,0.357
7.837,10.7,8.35,65.03,125,315,0.009,0.464
7.843,10.7,7.35,60.99,125.4,312,0.007,0.4977
7.87,10.7,7.2,56.11,125.6,311,0.008,0.468
7.82,10.7,6.8,52.99,127.8,317,0.007,0.41
